,id,genre_ids,title,overview,poster_path
65,405924,"[28, 18]",Janatha Garage,"Anand is an environmental activist who lives in Mumbai. A chance exchange programme takes him to Hyderabad and here, a chance encounter with Satyam results in him taking over the Janatha Garage from the latter.",/sEttn6LS1qXOi00oCVfjRnnHY1b.jpg
66,848829,"[35, 10749]",Crrush,The plot revolves around the life of three youngsters. They dream to shift to America with a special desire.,/clsrqgxP8KU6YBqB59BXmWg9kVm.jpg
67,811945,"[80, 53, 28]",HIT: The 2nd Case,"Krishna Dev aka KD, a laidback cop working in Andhra Pradesh State HIT, takes on a gruesome murder case. As KD unravels the layers of the crime, the stakes rise unbelievably high and the threat comes unusually close.",/iujSvQImdSTKDaIjTmZ2hDzgFti.jpg
68,34763,"[28, 35]",Aarya 2,"Two young boys staying together at an orphanage become friends. One of them is adopted by a wealthy family and grows up to become the owner of a software company. He provides employment for his friend, but when they both fall in love with the same young woman, conflict emerges.",/kjbbx8kV6pNhNXX9aRsVDwyEJbm.jpg
69,683342,"[28, 80, 53]",V,"DCP Aditya, a celebrated cop, faces his most unsettling case yet involving a mysterious serial killer who has been brutally killing his targets and leaving behind notes challenging Aditya to nab him. Teaming with Apoorva, an aspiring crime novelist, and the police force, Aditya finds himself walking on thin ice upon discovering the killer has another challenge for him: to prevent four more murders from happening or give up his medals and resign. What he is yet to find out is the killer's past and his desperation to carry out the killing spree without fail.",/iBVcwOVZNGNCNlOLFmcYJW83tTu.jpg
70,72440,"[12, 14, 28, 10751]",Once Upon a Warrior,"In a teardrop-shaped land called Sangarashtra, a 9-year-old girl with special healing powers tries to save her homeland from the tyranny of an evil queen with the help of a blind swordsman.",/2lA2vPWGJStW9tY2NqybBLcy5hl.jpg
71,1034587,"[28, 53]",Amigos,"Siddharth, a youngman who runs a family business is astonished to find his doppelgängers Manjunath and Michael on getdopple.com. After meeting up in Goa, they come down to Hyderabad to help Siddarth win over Ishika, a girl looking for superman to be her husband. But things take a drastic turn when NIA swings into action to nab Michael, aka Bipin Roy.",/mhPhEvh2ffBdbgiSIjrlkqAGwNH.jpg
72,900222,"[80, 53, 18]",Yashoda,"Looking to save her sister, Yashoda, a desperate woman agrees to be a surrogate and move in to a plush facility - but nothing is as it seems. In the world outside Eva, a Hollywood starlet dies under mysterious circumstances, so do a tycoon and a super model. An unknown drug seem to hold the key to the whole mystery.",/f5OiXMDSARtHK4vdGBr6ZGgrw7B.jpg
73,353533,"[28, 18]",Srimanthudu,"Harsha, a multi-millionaire guy who has everything but there is something else he's looking for and in the process he adopts a complete village trying to bring change in the people.",/sJoSrecqwuZMPMzUGn5jXpNwEq0.jpg
74,63430,"[10749, 18]",Ye Maaya Chesave,An aspiring Hindu director falls in love with a Christian girl whose parents disapprove of their impending relationship.,/wqVSj0Odz8MsNkfaaAgcYiE2fVu.jpg
75,467649,"[18, 10749, 35]",Fidaa,Two young people embark on a winding and rocky path to love after meeting at a wedding.,/cvpwHdJuUzm544lvleBIAxGdzBB.jpg
76,609096,"[18, 10749]",Viraata Parvam,Vennela has fallen for Aranya aka Ravanna’s poetry and the man both. What happens when she sets out on an arduous journey to be with him?,/pebVSzYPI9qR4xlmDt5dQXoVxP3.jpg
77,485789,"[53, 27, 80]",Bhaagamathie,"Accused of murdering her husband, IAS officer Chanchala, is taken to a haunted house called Bhaaghamathie Bungalow, where police and CBI officials interrogate her to dig up dirt on a politician she had worked under. As she's left alone in the haunted house, spirits take control of her and IAS Chanchala transforms into an unrecognisable person. How this impacts her and everyone around her forms the crux of the story.",/quGwnd4DjXOX25aLwuuRJJ5YmlS.jpg
78,681435,"[28, 80, 53]",Red,"When civil engineer Siddharth is arrested for a murder on the basis of a pictorial evidence, cops discover his lookalike Aditya and realize they have only 48 hours to solve the case.",/7cEEDAHhMGtoWfYXJxelVMRwLu0.jpg
79,1104031,"[10751, 18, 35]",Malli Pelli,"Narendra and Parvati often work together and love blooms on sets. But given that they already have partners, will their love prevail?",/rvbQXeFRRVtpNg2OK8J35vrLaRd.jpg
80,83889,"[28, 80]",Businessman,"Just as the cops have declared the end of Mafia in Mumbai, a man named Surya arrives in the city with the intentions of conquering it.",/aID26sABfyUqHhYbeW3o8V3I6tq.jpg
81,989017,"[28, 18]",Waltair Veerayya,"A notorious smuggler Waltair Veerayya is hired by a CI Seethapathi, reaches Malaysia with the ostensible mission of kidnapping a drug mafia leader named Solomon, who escaped India after wreaking havoc on the RAW agents and local policemen. Veerayya manages to pummel Solomon, who is fiercely protected by his ruthless gang-lord brother Kaala. Tables are turned, when Veerayya reveals that he shares a turbulent past with Kaala & an ACP Vikram Sagar who is hell-bent on ending his smuggling activities.",/g4mx225pbBH5i0KSjc3t1pO5hIy.jpg
82,604434,[],Sita,"Sita is a materialistic woman who only cares about materialistic gains and nothing else. MLA Basava Raju lusts for her and wants her to give him what she promised him for helping her. The villain of their tale is Ram, a man who’s way too innocent for his own good. How does Ram help Sita out of the fix she’s in forms the crux of the story.",/9s629MKjTxzCotDaFNy3qOTj0BM.jpg
83,31629,"[27, 14, 53]",Arundhati,Arundhati  belongs to Gadwal samsthanam in 1920’s. She is known for her bravery in saving the Samstanam by killing Pasupathi an evildoer. But the spirit of Pasupathi haunts that place. Another girl is born in the same lineage after 3 generations and she is named as Arundhati. The spirit of Pasupati is after Arundhati to take the revenge.,/xQ0mGlnlAt6wLWZc3rm6LGFPzwl.jpg
84,369925,"[18, 10751, 10749]",Oopiri,"A convict out on parole finds employment as the caretaker of a multi-millionaire, who is paralysed from neck down.",/iXsJEdk1P3V2cm2TSRBuG8ZS1pz.jpg
85,592898,[18],Jersey,"After his career fails to take off, a gifted cricketer in his mid-thirties decides that he’s not ready to give up quite yet.",/bU9q9yVtxeBiC0Do27CekHXNE6D.jpg
86,535172,"[28, 878, 53]",Disco Raja,"Found frozen and brain-dead in Ladakh, Vasu is brought back to life but with no memories of who he was, until he starts to regain his past and piece it together to find the people responsible for his murder.",/2yWmWOPIq7NjkpD5Wv3aaumPptO.jpg
87,1103708,"[27, 9648, 53]",Asvins,A group of Youtubers who accidentally unleash a 1500-year-old evil that crosses over from the realm of darkness to the human world.,/1dleEIjnnCQXMNiwIyBcd9sTieD.jpg
88,113728,"[28, 18]",Dhammu,"Rama Chandra, an orphan, gets involved in a feud between two royal families while trying to woo Sathya, his lady love. He soon realises that the lives of his fellow villagers depend on his choices.",/xO3epYityNOlkeLCdGOXVT2HwDw.jpg
89,315934,"[28, 35]",Alludu Seenu,"Deep in debt, Seenu and his uncle, Narasimha, flee to Chennai but land up in a different city. They then discover that Narasimha is the lookalike of the local don and use it to their advantage.",/yCiPp45NruSEyXNxfgWHdbfAmGW.jpg
90,755431,"[18, 28]",Maha Samudram,Two men in Vizag are steadfast friends since years but what happens when one of them is forced out of the city and the other takes the responsibility of his mistakes.,/h1pRGwpPsj76aO3fjcg2jyo4Bbb.jpg
91,176590,"[28, 18]",Mirchi,"A man returns to his country in order, ostensibly, to reform his girlfriend's violent family, but he seems to have a strange connection and a rather dark past.",/rNj5OmO7KXkZsmsZO7XI6CX0aRs.jpg
92,784696,"[28, 18]",Sarkaru Vaari Paata,"Mahesh, a money lender, is swindled by a gambling addict called Kalaavathi in the US. While he comes to India to collect his debt, he decides to stay back and do his bit for the country's financial health.",/jFwdKKDmgzKjZGFnSJma7I5XMpk.jpg
93,461126,"[28, 18]",Rangasthalam,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.,/hAf8m1nfPnjX6aV7RqN20UP1RmK.jpg
94,894758,[10749],18 Pages,"When a heartbroken Siddhu stumbles upon a two-year-old diary, he finds himself drawn into the enigmatic world of a young woman named Nandini and falls for her.",/d6SdWIh7gY6x84isJkfrD9SNiJ7.jpg
95,800343,"[80, 53]",Power Play,Vijay has everything going for him – he lands a plush job and is about to marry his love. But what happens when he finds himself in the centre of a conspiracy?,/e0Kbi1NUre8cQSZiaJzWyY1MGmE.jpg
96,1090486,"[35, 18, 14]",BRO,,/AhKWtkIjtPTaRawVaR1roNj1HxR.jpg
97,982875,"[10751, 35, 18]",Organic Mama Hybrid Alludu,"Vijay, a failed but talented film director starts selling Kondapalli toys made by his sculptor parents to make a living. He falls in love with Hassini, the daughter of a rich landlord and a businessman Organic Venkataramana, who gets furious when he comes to know Hassini’s relationship with Vijay. When Munikonda offers Vijay a chance to direct, Vijay lands in desperate situation to prove himself to win over his dream, love and life.",/xU6xN6s8zQIHoAcnzl9b0KC9W1Y.jpg
98,411629,"[10749, 28]",Thikka,"Aditya and Anjali are a couple who are in love with each other. However, due to certain problems, they break up and Aditya calls for a breakup party with his friends. During the party, a crazy incident occurs that changes the course of Aditya's life. The rest of the story is how Aditya manages to come out of this crazy situation and gets his life back on track.",/AhzP5LefbAAZihmwUC2sTNN8eOf.jpg
99,315009,"[36, 28, 18]",Rudhramadevi,"Rudraba, daughter of Ganapatideva, the emperor of the Kakatiya dynasty, was officially designated a son through the ancient Putrika ceremony and given the name Rudradeva so that she could succeed her father after his death. Despite opposition, she became of the most prominent rulers of the Kakatiya dynasty and one of the few ruling queens in Indian history.",/i3gFyjzp5qTiFCwxCr1n59Ak6dA.jpg
100,520393,"[53, 35, 27]",Taxiwala,"A job monger, Shiva who ends up as a taxiwala only to realise his ride is a beyond what anyone can expect.",/22nSwWSQ0sgo9gJxjWaGRlIJ0Mc.jpg
101,182954,"[28, 18]",Naayak,A young man and his lookalike team up to fight injustice and settle their personal scores with the evildoers.,/cgOPjRUvCQmhtNQntgy11odEqrt.jpg
102,965203,"[28, 53]",Custody,"Siva, a police officer, has to escort a witness to the court. He learns that all the police service wants to kill the witness. An escape begins.",/5E9TjPijGlsd1nkdzEhJkxDoPHR.jpg
103,896669,[28],Veera Simha Reddy,"Jai Simha Reddy, a businessman in Turkey and doting son of Meenakshi falls in love with Eesha. On the verge of his marriage, Jai comes to know the secret about his father Veera Simha Reddy who comes to Turkey to settle the marriage, which is when Jai meets his father for the first time. Things take a drastic turn around when Veera's  past follows him to Turkey.",/nYUIyP53CHBjDUci5hGmmpSVjNB.jpg
104,38677,"[28, 35, 18]",Adhurs,"Twin brothers who are separated at birth receive different upbringing. After they grow up, they chance upon each other when one of them gets kidnapped by hoodlums.",/zw17AxinuwVnOSlVs2TfkSL2pEo.jpg
105,63376,"[10749, 35]",Mr. Perfect,"Vicky breaks his engagement with Priya, his childhood friend, after he learns that she is making many compromises for his sake. However, time makes him realise the need for compromises in life.",/tOYpxUX2ISEvdJ1FqwPUZAPy2Hy.jpg
106,94965,"[28, 18]",Okkadu,"Ajay is in Kurnool for a Kabaddi match when he happens to save Swapna from a brutal factionist, Obul Reddy. The latter pursues them but Ajay refuses to back down from a confrontation with him.",/1JU2kNk4D7B5E2sWY2IMbyMqjqe.jpg
107,607091,"[35, 18, 14]",Oh! Baby,"A 70-year-old woman transforms into her 24-year-old self after she's photographed at a studio, changing her life and those of the people around her forever.",/3dXjxNtK3c5xFXJnTe8cnOBLqqp.jpg
